code,journal
A013,南昌大学学报理科版
G047,南昌大学学报医学版
R117,南方电网技术
V089,南方建筑
H069,南方农业学报
H068,南方水产科学
G023,南方医科大学学报
A025,南京大学学报自然科学版
T011,南京工业大学学报自然科学版
Y026,南京航空航天大学学报
N011,南京理工大学学报自然科学版
H033,南京林业大学学报自然科学版
H021,南京农业大学学报
A061,南京师大学报自然科学版
E120,南京信息工程大学学报自然科学版
G058,南京医科大学学报自然科学版
R008,南京邮电大学学报自然科学版
G059,南京中医药大学学报
A008,南开大学学报自然科学版
S776,南开管理评论
W590,南水北调与水利科技
G288,脑与神经疾病杂志
G662,内科急危重症杂志
G523,内科理论与实践
E104,内陆地震
A026,内蒙古大学学报自然科学版
A111,内蒙古师范大学学报自然科学汉文版
G513,内蒙古医科大学学报
P004,内燃机学报
W002,泥沙研究
U504,酿酒科技
A506,宁波大学学报理工版
A110,宁夏大学学报自然科学版
G665,宁夏医科大学学报
H071,农产品质量与安全
H105,农学学报
T034,农药
T924,农药科学与管理
H404,农药学学报
H072,农业工程
H279,农业工程学报
Z008,农业环境科学学报
H278,农业机械学报
H286,农业生物技术学报
H222,农业现代化研究
H773,农业资源与环境学报
V032,暖通空调
H219,排灌机械工程学报
U602,皮革科学与工程
U604,皮革与化工
G759,齐鲁医学杂志
G595,器官移植
E021,气候变化研究进展
E361,气候与环境研究
E352,气象
E566,气象科技
E359,气象科学
E001,气象学报
E521,气象与环境科学
E633,气象与环境学报
X532,汽车安全与节能学报
X018,汽车工程
X500,汽车工程学报
X013,汽车技术
P001,汽轮机技术
Y009,强度与环境
X021,桥梁建设
U018,青岛大学学报工程技术版
G061,青岛大学医学院学报
T012,青岛科技大学学报自然科学版
H267,青岛农业大学学报自然科学版
U535,轻工机械
J001,清华大学学报自然科学版
D002,燃料化学学报
P011,燃烧科学与技术
E563,热带地理
E642,热带海洋学报
H516,热带农业科学
E110,热带气象学报
H415,热带生物学报
F228,热带亚热带植物学报
G609,热带医学杂志
H223,热带作物学报
T105,热固性树脂
N071,热加工工艺
C134,热科学与技术
R501,热力发电
P006,热能动力工程
T013,人工晶体学报
N106,人类工效学
F041,人类学学报
W555,人民黄河
T070,日用化学工业
H097,乳业科学与技术
S011,软件学报
N029,润滑与密封
R086,三峡大学学报自然科学版
D012,色谱
H382,森林工程
H051,森林与环境学报
E635,沙漠与绿洲气象
H070,山地农业生物学报
E101,山地学报
G742,山东大学耳鼻喉眼学报
J022,山东大学学报工学版
A020,山东大学学报理学版
G062,山东大学学报医学版
